image_name;x_min;y_min;x_max;y_max;sign_type
image-0.jpg;0;1050;75;1125;DRUGI
image-0.jpg;225;1200;300;1275;DRUGI
image-0.jpg;225;1275;300;1350;DRUGI
image-0.jpg;300;1125;375;1200;DRUGI
image-1.jpg;600;1050;675;1125;OPASNOST
image-1.jpg;1050;600;1125;675;DRUGI
image-1.jpg;1350;375;1425;450;DRUGI
image-10.jpg;600;75;675;150;OPASNOST
image-10.jpg;1350;450;1425;525;DRUGI
image-100.jpg;975;450;1050;525;OPASNOST
image-101.jpg;600;300;675;375;DRUGI
image-101.jpg;825;150;900;225;OPASNOST
image-102.jpg;0;975;75;1050;DRUGI
image-102.jpg;0;1050;75;1125;DRUGI
image-102.jpg;0;1200;75;1275;DRUGI
image-102.jpg;0;1275;75;1350;DRUGI
image-102.jpg;0;1350;75;1425;DRUGI
image-102.jpg;75;1275;150;1350;DRUGI
image-102.jpg;225;1200;300;1275;DRUGI
image-102.jpg;1275;375;1350;450;DRUGI
image-102.jpg;1275;525;1350;600;OPASNOST
image-102.jpg;1350;450;1425;525;OPASNOST
image-102.jpg;1350;525;1425;600;OPASNOST
image-103.jpg;75;1275;150;1350;OPASNOST
image-103.jpg;150;1200;225;1275;OPASNOST
image-103.jpg;600;1050;675;1125;OPASNOST
image-103.jpg;600;1200;675;1275;OBAVEZNO_KRETANJE
image-103.jpg;1125;1200;1200;1275;OPASNOST
image-105.jpg;375;1125;450;1200;OBAVEZNO_KRETANJE
image-105.jpg;1050;150;1125;225;OPASNOST
image-106.jpg;75;1200;150;1275;DRUGI
image-106.jpg;150;1200;225;1275;OPASNOST
image-106.jpg;225;1275;300;1350;OPASNOST
image-106.jpg;225;1350;300;1425;DRUGI
image-106.jpg;300;1275;375;1350;DRUGI
image-106.jpg;450;1350;525;1425;DRUGI
image-106.jpg;1050;75;1125;150;OBAVEZNO_KRETANJE
image-107.jpg;300;150;375;225;OPASNOST
image-107.jpg;375;75;450;150;OPASNOST
image-107.jpg;600;150;675;225;DRUGI
image-107.jpg;900;150;975;225;OPASNOST
image-108.jpg;75;900;150;975;DRUGI
image-108.jpg;75;1050;150;1125;DRUGI
image-109.jpg;525;1275;600;1350;OPASNOST
image-109.jpg;1275;525;1350;600;DRUGI
image-11.jpg;150;1275;225;1350;OPASNOST
image-11.jpg;150;1350;225;1425;OPASNOST
image-11.jpg;1275;225;1350;300;OPASNOST
image-110.jpg;225;1275;300;1350;OPASNOST
image-110.jpg;1275;75;1350;150;DRUGI
image-110.jpg;1275;150;1350;225;DRUGI
image-110.jpg;1350;75;1425;150;DRUGI
image-112.jpg;0;750;75;825;OPASNOST
image-112.jpg;0;1200;75;1275;DRUGI
image-112.jpg;0;1275;75;1350;DRUGI
image-112.jpg;75;1200;150;1275;DRUGI
image-112.jpg;75;1275;150;1350;DRUGI
image-112.jpg;150;1200;225;1275;DRUGI
image-112.jpg;225;975;300;1050;DRUGI
image-113.jpg;0;1350;75;1425;DRUGI
image-113.jpg;75;1200;150;1275;OPASNOST
image-113.jpg;75;1350;150;1425;DRUGI
image-113.jpg;150;1275;225;1350;OPASNOST
image-113.jpg;300;1350;375;1425;DRUGI
image-113.jpg;450;1200;525;1275;OBAVEZNO_KRETANJE
image-113.jpg;825;675;900;750;OBAVEZNO_KRETANJE
image-114.jpg;825;975;900;1050;OPASNOST
image-115.jpg;150;1125;225;1200;OPASNOST
image-115.jpg;375;1125;450;1200;OPASNOST
image-117.jpg;75;75;150;150;OPASNOST
image-117.jpg;750;1275;825;1350;DRUGI
image-118.jpg;525;1200;600;1275;OPASNOST
image-12.jpg;750;675;825;750;OPASNOST
image-12.jpg;825;150;900;225;DRUGI
image-12.jpg;900;225;975;300;DRUGI
image-120.jpg;300;1200;375;1275;OPASNOST
image-120.jpg;525;1350;600;1425;OPASNOST
image-121.jpg;0;1275;75;1350;DRUGI
image-121.jpg;0;1350;75;1425;OPASNOST
image-121.jpg;225;1200;300;1275;DRUGI
image-121.jpg;450;75;525;150;OPASNOST
image-121.jpg;600;0;675;75;OPASNOST
image-121.jpg;1125;600;1200;675;OPASNOST
image-122.jpg;75;1125;150;1200;OPASNOST
image-122.jpg;150;1050;225;1125;OPASNOST
image-122.jpg;375;1125;450;1200;DRUGI
image-122.jpg;525;1350;600;1425;DRUGI
image-123.jpg;0;1275;75;1350;DRUGI
image-123.jpg;600;825;675;900;OPASNOST
image-123.jpg;1125;150;1200;225;DRUGI
image-124.jpg;375;1125;450;1200;OBAVEZNO_KRETANJE
image-126.jpg;0;1200;75;1275;DRUGI
image-126.jpg;0;1350;75;1425;DRUGI
image-126.jpg;150;1125;225;1200;OPASNOST
image-126.jpg;150;1350;225;1425;OPASNOST
image-126.jpg;450;825;525;900;DRUGI
image-127.jpg;525;975;600;1050;DRUGI
image-127.jpg;525;1050;600;1125;DRUGI
image-127.jpg;900;750;975;825;OPASNOST
image-13.jpg;150;825;225;900;DRUGI
image-13.jpg;225;1350;300;1425;DRUGI
image-13.jpg;375;375;450;450;DRUGI
image-14.jpg;300;1050;375;1125;DRUGI
image-16.jpg;900;1125;975;1200;OBAVEZNO_KRETANJE
image-17.jpg;0;1275;75;1350;OPASNOST
image-17.jpg;75;1275;150;1350;OPASNOST
image-17.jpg;150;1050;225;1125;OPASNOST
image-17.jpg;150;1275;225;1350;OPASNOST
image-17.jpg;150;1350;225;1425;DRUGI
image-17.jpg;225;975;300;1050;OPASNOST
image-17.jpg;375;1275;450;1350;DRUGI
image-17.jpg;525;1275;600;1350;OPASNOST
image-19.jpg;900;600;975;675;OPASNOST
image-19.jpg;1350;150;1425;225;OPASNOST
image-20.jpg;0;975;75;1050;OPASNOST
image-20.jpg;150;900;225;975;OPASNOST
image-20.jpg;225;1125;300;1200;OPASNOST
image-20.jpg;900;150;975;225;OPASNOST
image-20.jpg;975;300;1050;375;DRUGI
image-21.jpg;225;1275;300;1350;OPASNOST
image-21.jpg;600;225;675;300;DRUGI
image-21.jpg;900;600;975;675;OPASNOST
image-21.jpg;1050;675;1125;750;OPASNOST
image-22.jpg;825;1350;900;1425;OPASNOST
image-23.jpg;525;525;600;600;OPASNOST
image-23.jpg;600;525;675;600;DRUGI
image-24.jpg;225;1125;300;1200;OPASNOST
image-24.jpg;300;1125;375;1200;OPASNOST
image-24.jpg;300;1200;375;1275;OPASNOST
image-24.jpg;375;900;450;975;OPASNOST
image-24.jpg;375;975;450;1050;OPASNOST
image-24.jpg;375;1050;450;1125;OPASNOST
image-24.jpg;375;1200;450;1275;DRUGI
image-24.jpg;450;1125;525;1200;OPASNOST
image-24.jpg;525;1050;600;1125;DRUGI
image-25.jpg;525;150;600;225;OPASNOST
image-25.jpg;600;150;675;225;OPASNOST
image-26.jpg;0;975;75;1050;OPASNOST
image-26.jpg;1200;675;1275;750;DRUGI
image-27.jpg;900;825;975;900;DRUGI
image-28.jpg;75;1275;150;1350;OPASNOST
image-28.jpg;300;1125;375;1200;DRUGI
image-28.jpg;300;1200;375;1275;DRUGI
image-28.jpg;450;1125;525;1200;DRUGI
image-28.jpg;600;900;675;975;DRUGI
image-28.jpg;600;1200;675;1275;DRUGI
image-29.jpg;225;150;300;225;OPASNOST
image-29.jpg;525;75;600;150;OPASNOST
image-3.jpg;1050;1200;1125;1275;OPASNOST
image-30.jpg;450;1125;525;1200;OPASNOST
image-30.jpg;975;75;1050;150;OPASNOST
image-31.jpg;300;825;375;900;OBAVEZNO_KRETANJE
image-31.jpg;375;600;450;675;DRUGI
